name,Vg,Vw,T,Aw,At,Ae
harbour porpoise,241258.8021159172,175873.44301864505,3.5159289062965824,96258.4098770909,68618.79422074016,34539.47219999822
bear,116134.791392833,90203.5453543067,3.58999615714058,37205.06656100363,32349.558692935752,20983.900523309345
human,475697.0,469832.0,2.897765346003587,156020.31352874788,164159.94506113167,60948.89820286453
raccoon,21370.2890625,8229.375,2.4800782502196017,8605.118305059359,8616.78016030653,5650.691475095587
raccoon2,21758.79364013672,8105.898761749268,2.3552348119542152,8491.113998572735,9238.481670573958,5968.835134155485
seal1,111652.55963802338,75594.75474059582,3.161099907323081,37203.6235839257,35320.79431572736,20361.614757907068
seal2,104413.92998251319,66398.13971635699,3.7665631712613576,29683.55200989182,27721.274072657263,18770.377755616842
